[2026-08-02T23:20:55.873Z] harvester started — universe: BTC, ETH, HYPE, SOL, PAXG, KAITO, XRP, DOGE
(node:86134) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
[2026-08-02T23:20:56.723Z] connected, watching 8 assets
[2026-08-03T01:15:59.989Z] addresses 4771 (4741 polled) | open 27483 | changes logged 79874 | closures 1374 | polls 15966 | reconnects 2
[2026-08-03T01:17:00.072Z] addresses 4792 (4790 polled) | open 27637 | changes logged 80709 | closures 1396 | polls 16108 | reconnects 2
[2026-08-03T01:18:00.139Z] addresses 4811 (4811 polled) | open 27669 | changes logged 81203 | closures 1405 | polls 16250 | reconnects 2
[2026-08-03T01:19:00.206Z] addresses 4870 (4869 polled) | open 27829 | changes logged 81784 | closures 1420 | polls 16395 | reconnects 2
[2026-08-03T01:20:00.285Z] addresses 4900 (4896 polled) | open 27879 | changes logged 82477 | closures 1440 | polls 16538 | reconnects 2
[2026-08-03T01:21:00.418Z] addresses 4929 (4926 polled) | open 28010 | changes logged 83415 | closures 1455 | polls 16681 | reconnects 2
[2026-08-03T01:22:00.503Z] addresses 4961 (4959 polled) | open 28059 | changes logged 83926 | closures 1468 | polls 16828 | reconnects 2
[2026-08-03T01:23:00.592Z] addresses 4989 (4986 polled) | open 28164 | changes logged 84665 | closures 1478 | polls 16976 | reconnects 2
[2026-08-03T01:24:00.676Z] addresses 5016 (5013 polled) | open 28290 | changes logged 85156 | closures 1487 | polls 17120 | reconnects 2
[2026-08-03T01:25:00.717Z] addresses 5033 (5033 polled) | open 28353 | changes logged 85695 | closures 1507 | polls 17265 | reconnects 2
[2026-08-03T01:26:00.752Z] addresses 5049 (5049 polled) | open 28375 | changes logged 86477 | closures 1532 | polls 17403 | reconnects 2
[2026-08-03T01:27:00.789Z] addresses 5131 (5082 polled) | open 28422 | changes logged 86761 | closures 1547 | polls 17544 | reconnects 2
[2026-08-03T01:28:00.833Z] addresses 5209 (5207 polled) | open 28589 | changes logged 87158 | closures 1553 | polls 17689 | reconnects 2
[2026-08-03T01:29:00.870Z] addresses 5250 (5246 polled) | open 28621 | changes logged 87741 | closures 1581 | polls 17830 | reconnects 2
[2026-08-03T01:30:00.909Z] addresses 5272 (5271 polled) | open 28785 | changes logged 88535 | closures 1591 | polls 17970 | reconnects 2
[2026-08-03T01:31:00.898Z] addresses 5315 (5315 polled) | open 29210 | changes logged 89337 | closures 1607 | polls 18107 | reconnects 2
